DrainI(1)	SourceI(1)	GateI(1)	GateV(1)	GM(1)	IDLIN(1)	VT(1)	DrainI(2)	SourceI(2)	GateI(2)	GateV(2)	GM(2)	IDLIN(2)	VT(2)
62.0641E-6	-62.1527E-6	903.9346E-12	17.0000E+0	4.9043E-6	-58.7024E-6		144.7145E-6	-144.8038E-6	822.9760E-12	17.0000E+0	11.8691E-6	-34.7945E-6	
57.3200E-6	-57.4079E-6	804.6819E-12	16.0000E+0	4.7440E-6	-70.5660E-6		133.7322E-6	-133.8219E-6	768.7509E-12	16.0000E+0	10.9823E-6	-58.3390E-6	
52.7331E-6	-52.8217E-6	675.3604E-12	15.0000E+0	4.5869E-6	-82.4296E-6		123.2357E-6	-123.3257E-6	709.2195E-12	15.0000E+0	10.4965E-6	-81.8836E-6	
48.4479E-6	-48.5371E-6	584.8505E-12	14.0000E+0	4.2852E-6	-94.2932E-6		113.0572E-6	-113.1468E-6	656.4094E-12	14.0000E+0	10.1784E-6	-105.4282E-6	
44.4414E-6	-44.5301E-6	533.1017E-12	13.0000E+0	4.0064E-6	-106.1568E-6		103.7404E-6	-103.8309E-6	577.3206E-12	13.0000E+0	9.3168E-6	-128.9728E-6	
40.6362E-6	-40.7258E-6	463.8168E-12	12.0000E+0	3.8052E-6	-118.0205E-6		94.5839E-6	-94.6742E-6	505.7617E-12	12.0000E+0	9.1564E-6	-152.5173E-6	
37.2084E-6	-37.2160E-6	427.0267E-12	11.0000E+0	3.4277E-6	-129.8841E-6		85.9895E-6	-86.0813E-6	395.4922E-12	11.0000E+0	8.5944E-6	-176.0619E-6	
33.7500E-6	-33.7576E-6	341.4693E-12	10.0000E+0	3.4584E-6	-141.7477E-6		77.8453E-6	-77.9373E-6	346.9272E-12	10.0000E+0	8.1442E-6	-199.6064E-6	
30.5558E-6	-30.5636E-6	275.9747E-12	9.0000E+0	3.1941E-6	-153.6113E-6		70.3291E-6	-70.4205E-6	245.6531E-12	9.0000E+0	7.5161E-6	-223.1510E-6	
27.4918E-6	-27.4996E-6	214.4724E-12	8.0000E+0	3.0640E-6	-165.4749E-6		63.0798E-6	-63.1713E-6	165.1998E-12	8.0000E+0	7.2492E-6	-246.6956E-6	
24.6881E-6	-24.6960E-6	126.4387E-12	7.0000E+0	2.8036E-6	-177.3385E-6		56.4946E-6	-56.5870E-6	82.7756E-12	7.0000E+0	6.5852E-6	-270.2401E-6	
22.0748E-6	-22.0829E-6	47.5520E-12	6.0000E+0	2.6133E-6	-189.2021E-6		50.4559E-6	-50.5484E-6	13.5413E-12	6.0000E+0	6.0386E-6	-293.7847E-6	
19.6370E-6	-19.6451E-6	-44.3728E-12	5.0000E+0	2.4378E-6	-201.0657E-6		44.7045E-6	-44.7971E-6	-54.3284E-12	5.0000E+0	5.7513E-6	-317.3292E-6	
17.3559E-6	-17.3641E-6	-124.7250E-12	4.0000E+0	2.2811E-6	-212.9293E-6		39.8979E-6	-39.9057E-6	-52.6101E-12	4.0000E+0	4.8066E-6	-340.8738E-6	
15.2886E-6	-15.2970E-6	-194.0604E-12	3.0000E+0	2.0672E-6	-224.7929E-6		34.9594E-6	-34.9672E-6	-149.1844E-12	3.0000E+0	4.9384E-6	-364.4184E-6	
