DrainI(1)	SourceI(1)	GateI(1)	GateV(1)	GM(1)	IDLIN(1)	VT(1)	DrainI(2)	SourceI(2)	GateI(2)	GateV(2)	GM(2)	IDLIN(2)	VT(2)
45.2739E-6	-45.3697E-6	797.7586E-12	16.0000E+0	2.8137E-6	8.4518E-6		89.2758E-6	-89.3727E-6	797.9101E-12	16.0000E+0	5.7469E-6	19.7460E-6	
42.5016E-6	-42.5978E-6	727.7662E-12	15.0000E+0	2.7722E-6	3.6315E-6		83.6947E-6	-83.7921E-6	731.1522E-12	15.0000E+0	5.5811E-6	10.1745E-6	
39.9069E-6	-39.9149E-6	715.4859E-12	14.0000E+0	2.5946E-6	-1.1887E-6		78.2599E-6	-78.3583E-6	635.0327E-12	14.0000E+0	5.4348E-6	602.9732E-9	
37.2428E-6	-37.2509E-6	611.6851E-12	13.0000E+0	2.6641E-6	-6.0091E-6		72.9774E-6	-73.0751E-6	539.1660E-12	13.0000E+0	5.2825E-6	-8.9685E-6	
34.6922E-6	-34.7004E-6	519.1032E-12	12.0000E+0	2.5505E-6	-10.8294E-6		67.8891E-6	-67.9880E-6	453.5581E-12	12.0000E+0	5.0882E-6	-18.5401E-6	
32.1457E-6	-32.1539E-6	435.4662E-12	11.0000E+0	2.5465E-6	-15.6498E-6		62.8644E-6	-62.9627E-6	363.5535E-12	11.0000E+0	5.0246E-6	-28.1116E-6	
29.7327E-6	-29.7411E-6	323.1247E-12	10.0000E+0	2.4129E-6	-20.4701E-6		58.0406E-6	-58.1396E-6	293.9149E-12	10.0000E+0	4.8238E-6	-37.6832E-6	
27.3739E-6	-27.3822E-6	256.0130E-12	9.0000E+0	2.3588E-6	-25.2905E-6		53.3594E-6	-53.4585E-6	224.9838E-12	9.0000E+0	4.6812E-6	-47.2547E-6	
25.0945E-6	-25.1029E-6	176.1156E-12	8.0000E+0	2.2793E-6	-30.1108E-6		48.7298E-6	-48.8276E-6	160.8032E-12	8.0000E+0	4.6295E-6	-56.8263E-6	
22.9053E-6	-22.9138E-6	102.3836E-12	7.0000E+0	2.1892E-6	-34.9312E-6		44.4380E-6	-44.5364E-6	109.2059E-12	7.0000E+0	4.2918E-6	-66.3978E-6	
20.8097E-6	-20.8181E-6	13.8445E-12	6.0000E+0	2.0956E-6	-39.7515E-6		40.2705E-6	-40.3700E-6	35.2213E-12	6.0000E+0	4.1675E-6	-75.9694E-6	
